0:0:0,x,y,z
0:2:54.89,7923.44,4979.69,22903.12
0:2:55.12,40.62,-2526.56,2039.06
0:2:55.34,-6339.06,-4815.62,-24004.69
0:2:55.57,-2012.5,-4093.75,-9153.12
0:2:55.79,3246.88,6354.69,14907.81
0:2:56.1,4862.5,-382.81,13687.5
0:2:56.24,-3317.19,-5650.0,1614.06
0:2:56.51,-11245.31,-12645.31,-17917.19
0:2:56.72,-1029.69,-3182.81,-6337.5
0:2:56.92,4496.88,7817.19,18578.12
0:2:57.12,1446.88,-2353.12,8728.12
0:2:57.33,-2271.88,-4212.5,109.38
0:2:57.53,-6657.81,-6965.62,-23132.81
0:2:57.75,-2056.25,-5885.94,-7696.88
0:2:57.95,2684.38,7034.379,16767.19
0:2:58.16,5523.44,-520.31,15984.38
0:2:58.36,-1662.5,-2475.0,-5239.06
0:2:58.56,-2243.75,-614.06,-15165.62
0:2:58.77,-1220.31,-4957.81,-11768.75
0:2:58.98,2139.06,6871.88,12357.81
0:2:59.18,7626.56,9151.56,22350.0
0:2:59.38,-1125.0,-2240.62,-4673.44
0:2:59.59,-840.6199,-1103.12,-17748.44
0:2:59.85,-1270.31,-5050.0,-11348.44
0:3:0.6,3351.56,7603.12,16070.31
0:3:0.27,7481.25,2035.94,15359.38
0:3:0.47,950.0,-1765.62,-3346.88
0:3:0.66,301.56,6017.19,-14526.56
0:3:0.86,-7604.69,-5562.5,-15053.12
0:3:1.5,-1907.81,-1695.31,8128.119
0:3:1.24,5621.88,11559.38,19114.06
0:3:1.44,535.94,-2362.5,2895.31
0:3:1.64,-1207.81,-818.75,-6701.56
0:3:1.85,-5087.5,-5718.75,-22320.31
0:3:2.4,-1217.19,-8446.879,5362.5
0:3:2.23,3026.56,9671.88,9910.941
0:3:2.44,2910.94,-435.94,13757.81
0:3:2.64,-978.1199,-3415.62,-4643.75
0:3:2.84,-768.75,1139.06,-14426.56
0:3:3.9,-451.56,-4248.44,-5403.12
0:3:3.29,4051.56,9237.5,10370.31
0:3:3.49,5459.38,446.88,16904.69
0:3:3.68,767.19,650.0,-446.88
0:3:3.88,217.19,1956.25,-13985.94
0:3:4.8,-8320.31,-7246.88,-6832.81
0:3:4.28,235.94,1765.62,5475.0
0:3:4.48,7453.12,12981.25,17868.75
0:3:4.69,1509.38,2515.62,-1592.19
0:3:4.90,-817.19,-2921.88,-4579.69
0:3:5.9,-6634.38,-9884.379,-11207.81
0:3:5.29,-2626.56,1737.5,-10495.31
0:3:5.49,3201.56,8731.25,15628.12
0:3:5.70,2804.69,-712.5,10007.81
0:3:5.90,-400.0,1081.25,534.38
0:3:6.11,-3770.31,-8153.12,-22284.38
0:3:6.36,-459.38,-2639.06,-6485.94
0:3:6.56,3285.94,9256.25,15442.19
0:3:6.76,2581.25,-492.19,10656.25
0:3:6.96,-1010.94,-435.94,471.88
0:3:7.16,-3540.62,-5945.31,-21525.0
0:3:7.36,-1112.5,-2940.62,-11029.69
0:3:7.57,2950.0,8404.691,12101.56
0:3:7.77,5931.25,4704.69,16973.44
0:3:7.98,901.56,457.81,-4346.88
0:3:8.18,-1592.19,-3545.31,-12717.19
0:3:8.39,-5081.25,-6812.5,-7785.94
0:3:8.59,35.94,3170.31,9542.191
0:3:8.80,5603.12,11640.62,20603.12
0:3:9.1,1454.69,2025.0,-1753.12
0:3:9.21,598.44,1628.12,-8615.62
0:3:9.42,-8328.12,-8601.56,-12104.69
0:3:9.67,1390.62,4043.75,13126.56
0:3:9.87,7251.56,10515.62,20884.38
